ts,amount,note
2026-01-09T00:00:00+00:00,850.000000,round1 - corrected to match Alpaca cleared deposits
2026-01-13T19:45:00+00:00,100.000000,JL transfer 1.13
2026-01-23T12:00:00+00:00,150.000000,JL transfer 1.23
2026-02-01T12:00:00+00:00,2050.000000,round2 - AK 1750 + MG/TG/JD 100 each
2026-02-05T12:00:00+00:00,1000.000000,round3 - EL 1000
2026-02-07T12:57:26+00:00,250.000000,AG round4
2026-02-07T12:59:28+00:00,400.000000,JL round4
2026-02-07T12:59:46+00:00,250.000000,TG round4
2026-02-13T10:28:56+00:00,250.000000,Jeff 2.13 deposit
2026-02-27T21:00:00+00:00,4800.000000,AK deposit 2.27
2026-03-06T12:00:00+00:00,300.000000,JL deposit 3.6
2026-03-13T11:23:58+00:00,1000.000000,MG deposit 3.13
2026-03-13T11:24:11+00:00,1000.000000,DG deposit 3.13
2026-03-20T13:24:57+00:00,2000.000000,EL deposit 3.20
2026-03-25T08:10:01-05:00,1000.000000,NC deposit 3.25
2026-03-27T10:43:43+00:00,1000.000000,JL deposit 3.27
2026-04-10T21:00:00-04:00,3000.000000,DG deposit 4.10
