ts,code,amount,note,nav_per_unit,units
2026-01-09T00:00:00+00:00,JL,400.000000,round1,1.000000,400.000000
2026-01-09T00:00:00+00:00,AK,100.000000,round1,1.000000,100.000000
2026-01-09T00:00:00+00:00,TG,100.000000,round1,1.000000,100.000000
2026-01-09T00:00:00+00:00,JD,100.000000,round1,1.000000,100.000000
2026-01-09T00:00:00+00:00,MG,100.000000,round1,1.000000,100.000000
2026-01-09T00:00:00+00:00,EL,100.000000,round1,1.000000,100.000000
2026-01-09T00:00:00+00:00,DG,100.000000,round1,1.000000,100.000000
2026-01-09T00:00:00+00:00,DD,100.000000,round1,1.000000,100.000000
2026-02-01T12:00:00+00:00,AK,1750.000000,round2,1.032500,1695.157385
2026-02-01T12:00:00+00:00,MG,100.000000,round2,1.032500,96.851994
2026-02-01T12:00:00+00:00,TG,100.000000,round2,1.032500,96.851994
2026-02-01T12:00:00+00:00,JD,100.000000,round2,1.032500,96.851994
2026-02-05T12:00:00+00:00,EL,1000.000000,round3,1.321900,756.487631
2026-02-07T13:00:00+00:00,AG,250.000000,round4,1.339100,186.693301
2026-02-07T13:00:00+00:00,JL,400.000000,round4,1.339100,298.709282
2026-02-07T13:00:00+00:00,TG,250.000000,round4,1.339100,186.693301
2026-02-13T10:28:56+00:00,JL,250.000000,Jeff 2.13 deposit,1.378760,181.322405
2026-02-27T21:00:00+00:00,AK,4800.000000,AK deposit 2.27,1.393624,3444.256369
2026-03-06T12:00:00+00:00,JL,300.000000,JL deposit 3.6,1.509188,198.782435
2026-03-13T11:23:58+00:00,MG,1000.000000,MG deposit 3.13,1.712934,583.793694
2026-03-13T11:24:11+00:00,DG,1000.000000,DG deposit 3.13,1.712934,583.793694
2026-03-20T13:16:58+00:00,EL,2000.000000,EL deposit 3.20,1.713355,1167.300414
2026-03-25T08:10:00-05:00,NC,1000.000000,NC deposit 3.25,1.728200,578.636732
2026-03-27T10:43:43+00:00,JL,1000.000000,JL deposit 3.27,1.985825,503.569171
